"id","CO","NO","NO2","NOX","O3","PM10","PM2.5","SO2"
"MER102007",1.30306748466258,44.3067484662577,50.7116564417178,95.2515337423313,23.2699386503067,67.3881578947368,34.4099378881988,12.9570552147239
"MER112007",1.16964285714286,43.8630952380952,43.75,87.7976190476191,23.6130952380952,41.4230769230769,23.066265060241,4.94642857142857
"MER12007",1.26894409937888,50.0253164556962,38.7088607594937,89.0063291139241,19.6043165467626,48.1960784313725,31.5095541401274,12.8571428571429
"MER122007",1.11524390243902,33.5,42.2682926829268,76,28.7166666666667,70.0434782608696,29.4350649350649,8.87195121951219
"MER132007",1.09852941176471,29.6024096385542,43.1927710843374,73.0180722891566,34.4935064935065,66.86875,32.8787878787879,6.3855421686747
"MER142007",1.0961038961039,22.2228915662651,30.8975903614458,53.3915662650602,27.5120481927711,31.7350993377483,17.9367088607595,4.25903614457831
"MER152007",1.49655172413793,37.468085106383,39.9574468085106,78.1205673758865,31.0496453900709,54.6625,23.8246753246753,6.17021276595745
"MER162007",1.10731707317073,36.8909090909091,48.1393939393939,85.9393939393939,28.6407185628743,62.8263473053892,33.3592814371258,7.48502994011976
"MER172007",1.30121951219512,36.6125,42.94375,80.425,26.6172839506173,56.4233128834356,37.640243902439,5.71951219512195
"MER182007",1.32621951219512,31.4268292682927,44.140243902439,76.4878048780488,34.7317073170732,55.1801242236025,33.18125,4.20121951219512
"MER192007",1.20595238095238,30.4880952380952,41.9226190476191,73.2142857142857,30.952380952381,55.6566265060241,35.4620253164557,7.73809523809524
"MER202007",0.967283950617284,21.5679012345679,36.9135802469136,59.3148148148148,32.4259259259259,62.14375,35.112582781457,5.48148148148148
"MER212007",1.32787878787879,36.0969696969697,46.1454545454545,83.0848484848485,27.8848484848485,46.7721518987342,31.1132075471698,6.2969696969697
"MER22007",1.41104294478528,51.1824324324324,43.1013513513514,94.6756756756757,23.5542168674699,54.5796178343949,29.4076433121019,15.2331288343558
"MER222007",0.953614457831325,30.0481927710843,37.8192771084337,68.7530120481928,34.4876033057851,52.3253012048193,26.575,5.04054054054054
"MER232007",0.993292682926829,26.8109756097561,37.2073170731707,64.7926829268293,26.962962962963,51.2884615384615,28.0186335403727,10.7134146341463
"MER242007",0.857831325301205,21.3170731707317,37.7560975609756,59.9146341463415,31.1746987951807,57.8950617283951,34.2857142857143,12.0240963855422
"MER252007",1.38392857142857,34.6309523809524,44.1309523809524,79.7142857142857,24.7738095238095,40.6748466257669,30.4727272727273,6.99404761904762
"MER262007",0.998203592814371,27.3952095808383,35.3952095808383,63.8443113772455,23.9101796407186,43.1329113924051,28.0993788819876,7.61676646706587
"MER272007",1.08614457831325,25.6144578313253,34.921686746988,61.5060240963855,29.7228915662651,41.1503267973856,25.7337662337662,5.28915662650602
"MER282007",1.47664670658683,26.0778443113772,30.5329341317365,57.6706586826347,24.8682634730539,47.7592592592593,23.5974842767296,8
"MER292007",1.24225352112676,34.140243902439,31.5060975609756,66.7073170731707,17.7621951219512,29.6748466257669,19.9245283018868,4.07926829268293
"MER302007",0.87710843373494,24.9759036144578,36.1204819277108,61.7048192771084,25.7409638554217,37.1104294478528,23.4085365853659,5.62048192771084
"MER312007",0.707361963190184,26.3374233128834,34.1226993865031,61.3865030674847,23.558282208589,39.60625,22.2422360248447,6.31288343558282
"MER32007",1.36867469879518,42.6325301204819,35.6626506024096,78.5,22.1204819277108,54.8242424242424,25.7283950617284,12.4879518072289
"MER322007",0.612650602409639,29.078313253012,28.921686746988,58.9457831325301,20.2710843373494,35.855421686747,19.7142857142857,6.86746987951807
"MER332007",0.584810126582278,25.9240506329114,29,55.6772151898734,22.4810126582278,32.3157894736842,17.1560283687943,2.75316455696203
"MER342007",1.03125,35.2638888888889,31.2638888888889,66.4444444444444,18.2013888888889,29.2042253521127,19.1021897810219,3.68055555555556
"MER352007",0.753333333333333,30.5575757575758,23.3393939393939,53.8606060606061,10.9333333333333,21.7974683544304,11.5310344827586,2.56363636363636
"MER362007",1.1140127388535,48.515923566879,31.8853503184713,80.2866242038217,15.0891719745223,32.7225806451613,21.3219178082192,5.12738853503185
"MER372007",0.773076923076923,32.1801242236025,28.0931677018634,60.2111801242236,16.6111111111111,30.2012987012987,15.9358974358974,2.04938271604938
"MER382007",0.243506493506494,36.6626506024096,37.1204819277108,73.6987951807229,20.2289156626506,45.6233766233766,26.2147239263804,9.80120481927711
"MER392007",0.726829268292683,39.2926829268293,32.6890243902439,71.890243902439,16.6951219512195,34.8170731707317,20.5569620253165,5.19512195121951
"MER402007",0.587878787878788,34.2666666666667,36.2545454545455,70.4181818181818,24.0545454545455,44.0987654320988,25.8051948051948,5.96363636363636
"MER412007",0.404819277108434,33.6927710843374,30.4397590361446,64.0421686746988,18.4156626506024,37.8373493975904,18.2348993288591,5.08433734939759
"MER42007",1.42716049382716,46.6211180124224,35.2546583850932,82.0621118012422,16.6975308641975,37.9171974522293,22.1602564102564,5.85802469135802
"MER422007",1.08445945945946,38.6904761904762,39.6071428571429,78.2202380952381,23.8869047619048,46.2839506172839,25.327380952381,5.19642857142857
"MER432007",1.64702380952381,54.7678571428571,39.9702380952381,94.6607142857143,16.4107142857143,44.4322580645161,24.8796992481203,13.7678571428571
"MER442007",0.866455696202532,39.5243902439024,34.8963414634146,74.3109756097561,19.5731707317073,46.7407407407407,21.3087248322148,14.0365853658537
"MER452007",1.16766467065868,53.4071856287425,45.6407185628742,98.9820359281437,19.8982035928144,64.3988095238095,33.7974683544304,19.059880239521
